Source;Target;Weight
@EduardoBolanosR;@oramirezlara;54
@javiermulleras;@oramirezlara;66
@Esquerra_ERC;@ERCbcn;111
@MunicipalsCAT;@AlfredBosch;78
@xaviertrias;@MercatsBCN;56
@pplescorts;@albertofdezxbcn;203
@albertofdezxbcn;@govern;473
@btvnoticies;@AlbertoFdezxBCN;98
@Fran_Garcia_O;@albertofdezxbcn;56
@CUPBarcelona;@xmonge;73
@albertofdezxbcn;@ppceixample;52
@albertofdezxbcn;@PPNouBarris;101
@albertofdezxbcn;@PPHortaGuinardo;153
@s;@pplescorts;50
@PPNouBarris;@pplescorts;85
@PPNouBarris;@PP_Sarria;82
@pplescorts;@PP_Sarria;82
@CiutatVellaPP;@albertofdezxbcn;62
@oramirezlara;@PPCatalunya;58
@cupnacional;@CUPBarcelona;86
@apuente;@bcnencomu;147
@CUPBarcelona;@XavierTrias;145
@Cs_BCNA;@MarilenBarcelo;231
@ctorrubiano7;@albertofdezxbcn;56
@AlDiaCat;@albertofdezxbcn;62
@Estornino_C;@AdaColau;206
@IndepenRadio;@AdaColau;122
@rblasi;@gardanuy_bcn;75
@icveuia;@unio_cat;74
@icveuia;@Podem_BCN;78
@EnComuH_G;@AdaColau;129
@EnComuH_G;@G_Pisarello;90
@EnComuH_G;@mvidal80;150
@FundErnestLluch;@albertofdezxbcn;90
@RBALibros;@albertofdezxbcn;152
@VictorValls;@bcnencomu;105
@xaviertrias;@barcelona_GUB;67
@AdaColau;@AdriaAlemany;140
@PAH_BCN;@APE_Cat;67
@AdaColau;@somcomuns;119
@AdaColau;@ClotEnComu;124
@EnComuH_G;@bcnencomu;215
@angelsmcastells;@BCNEncomu;71
@AdaColau;@BCNEncomu;72
@kolontai1959;@AdaColau;61
@carnecrudaradio;@ManuelaCarmena;242
@AdaColau;@ManuelaCarmena;358
@carme1848;@bcnencomu;119
@AdaColau;@Albert_Rivera;202
@PrensaCs;@CarinaMejias;331
@MABastenier001;@CarinaMejias;79
@tonisalado;@bcnencomu;53
@VictorValls;@EnComuH_G;89
@VictorValls;@mvidal80;76
@AdaColau;@AlfredBosch;147
@xaviertrias;@ILPhabitatge;119
@albertofdezxbcn;@CopeCatalunya;71
@elmaticope;@CopeCatalunya;67
@syriza_es;@AhoraMadrid;76
@g6gracia;@orfeogracienc;52
@apuente;@pirates_lh;85
@pirates_lh;@bcnencomu;115
@TerrassaEnComu;@AdaColau;127
@Jaumeasens;@AdaColau;383
@MarcBertomeu;@bcnencomu;87
@ciu;@Esquerra_ERC;61
@SantiDemajo;@bcnencomu;192
@ERCbcn;@ernestmaragall;80
@AlfredBosch;@Taula3sector;94
@Esquerra_ERC;@jpuigcorbe;79
@fjmillan69;@CarinaMejias;79
@Cs_Cornella;@CarinaMejias;79
@Cs_Cornella;@Albert_Rivera;74
@carmenchusalas;@PPBarcelona_;164
@bcnencomu;@xavierdomenechs;327
@G_Pisarello;@xavierdomenechs;375
@vpartal;@bcnencomu;68
@PConstituent;@AdaColau;99
@albertofdezxbcn;@barcelona_cat;300
@barcelona_cat;@govern;144
@APE_Cat;@APE_Cat;75
@AlfredBosch;@jfalbertos;71
@AlfredBosch;@OriolCosta_;83
@jfalbertos;@OriolCosta_;63
@icveuia;@bcnencomu;326
@govern;@xaviertrias;85
@APE_Cat;@xaviertrias;61
@dosmesdoscinc;@AdaColau;148
@bcnencomu;@Superllisti;54
@mrenau;@G_Pisarello;52
@bcnencomu;@15mparato;64
@xaviertrias;@ArturMasCat;57
@ERCbcn;@montsebenedi;83
@bcnencomu;@oop_coop;69
@jpuigcorbe;@joanignasielena;71
@joanignasielena;@AlfredBosch;163
@15Mmikel;@bcnencomu;87
@toniartero;@ahorapodemos;102
@toniartero;@icveuia;102
@toniartero;@bcnencomu;81
@toniartero;@AdaColau;176
@toniartero;@iniciativa;76
@toniartero;@pconstituent;74
@ahorapodemos;@icveuia;148
@ahorapodemos;@pconstituent;75
@icveuia;@iniciativa;79
@icveuia;@pconstituent;75
@bcnencomu;@pconstituent;75
@AdaColau;@pconstituent;75
@iniciativa;@pconstituent;75
@ernesturtasun;@AdaColau;66
@bcnencomu;@iaioflautas;54
@L_Makeba;@bcnencomu;479
@dosmesdoscinc;@bcnencomu;162
@15Mmikel;@AdaColau;51
@Casfetera;@AdaColau;58
@PPBarcelona_;@AliciaSCamacho;110
@SergiCastanye;@bcnencomu;150
@SergiCastanye;@AdaColau;120
@isaranjuez;@adacolau;112
@carmelojorda;@AdaColau;119
@_JuanLi;@AdaColau;103
@PodemDSantMarti;@ahorapodemos;76
@PodemDSantMarti;@Podem_BCN;115
@aguetic;@bcnencomu;69
@LauraValls1;@AdaColau;153
@XavierSolerT;@AdaColau;113
@EduardoIndaDice;@AdaColau;542
@bcnencomu;@PConstituent;245
@_mundus;@bcnencomu;84
@TheRealMadLover;@EduardoIndaDice;51
@TheRealMadLover;@MATHIEUMARL;51
@TheRealMadLover;@AdaColau;52
@EduardoIndaDice;@MATHIEUMARL;82
@MATHIEUMARL;@AdaColau;82
@_mundus;@martaverdejo;55
@_mundus;@robert_soro;53
@martaverdejo;@robert_soro;53
@bcnencomu;@eloibadia;115
@AdaColau;@SextaNocheTV;2014
@CiutadansCs;@CiudadanosCs;151
@NewEconomyForum;@albertofdezxbcn;85
@xavimarinetti;@bcnencomu;73
@AdaColau;@El_Intermedio;99
@ManuelConde7;@albertofdezxbcn;62
@AdaColau;@iaioflautas;170
@TerrassaEnComu;@carnecruda;53
@AdaColau;@carnecruda;53
@bcnencomu;@carnecruda;53
@AdaColau;@ismadani_abs;56
@MGGiiino;@AdaColau;51
@pscbarcelona;@socialistes_cat;66
@_Empanado_;@EduardoIndaDice;64
@_Empanado_;@MATHIEUMARL;64
@_Empanado_;@AdaColau;64
@ciu;@bcnencomu;114
@gaab75;@bcnencomu;66
@bcnencomu;@KateSB;160
@somcomuns;@adacolau;67
@cs_ciutat_vella;@Cs_BCNA;99
@cs_ciutat_vella;@soniasi02;51
@cs_ciutat_vella;@MarilenBarcelo;73
@cs_ciutat_vella;@pacosierral;51
@Cs_BCNA;@soniasi02;271
@Cs_BCNA;@pacosierral;129
@soniasi02;@YagoAlonsoBCN;291
@soniasi02;@pacosierral;282
@MarilenBarcelo;@YagoAlonsoBCN;308
@MarilenBarcelo;@pacosierral;301
@YagoAlonsoBCN;@pacosierral;231
@EsqEixEnComu;@bcnencomu;261
@AdaColau;@laSextaTV;261
@AdaColau;@MarcBertomeu;256
@elperiodico;@jaumecollboni;97
@ernesturtasun;@bcnencomu;53
@carmenchusalas;@PPCatalunya;61
@bcnencomu;@EUiA_cat;59
@bcnencomu;@podem_cat;113
@Laksmiz;@jcanadellb;52
@tonialba;@jcanadellb;53
@jcanadellb;@AdaColau;72
@elperiodico;@AdaColau;104
@CarinaMejias;@PPopular;82
@AdaColau;@_anapastor_;292
@ERCbcn;@MovEsquerres;245
@ERCbcn;@BCNCiutatOberta;208
@herrerajoan;@miqueliceta;92
@miqueliceta;@AdaColau;88
@joanvallve;@bcnencomu;78
@alexmiquel;@AlfredBosch;86
@CsLesCorts;@Cs_BCNA;62
@carlesjulbe;@AlfredBosch;72
@EUiA_cat;@AdaColau;62
@BCNCiutatOberta;@GemmaSendra;136
@AlfredBosch;@GemmaSendra;142
@ERCbcn;@GemmaSendra;70
@AlfredBosch;@t_capdevila;57
@AlfredBosch;@montsebenedi;59
@LA_PAH;@jordievole;420
@MunicipalsBCN;@AlfredBosch;58
@MaesePads;@AdaColau;99
@roberthorta7;@albertofdezxbcn;82
@PPBarcelona_;@EnricMillo;68
@bcnencomu;@bcnencomu;84
@cesciglesies;@AlfredBosch;57
@XavierGonzalbez;@bcnencomu;91
@StAntoniEnComu;@EsqEixEnComu;102
@bcnencomu;@sarriaencomu;58
@bcnencomu;@x_riu;51
@bcnencomu;@LaMarinaEnComu;144
@AlfredBosch;@MJLecha;52
@PPBarcelona_;@PPopular;52
@RaholaOficial;@NousCatalans;54
@BCNCiutatOberta;@jpuigcorbe;53
@albertofdezxbcn;@;267
@podem_cat;@PConstituent;59
@podem_cat;@fundacomunes;54
@PConstituent;@fundacomunes;52
@bcnencomu;@fundacomunes;54
@PrensaCs;@CiudadanosCs;64
@Gafas_y_reloj;@PPopular;56
@Gafas_y_reloj;@CarinaMejias;106
@Gafas_y_reloj;@CiudadanosCs;60
@Gafas_y_reloj;@Juanmi_News;56
@PPopular;@CiudadanosCs;102
@PPopular;@Juanmi_News;58
@CarinaMejias;@Juanmi_News;58
@CiudadanosCs;@Juanmi_News;58
@jaumecollboni;@CarinaMejias;50
@AdaColau;@CarinaMejias;55
@CiudadanosCs;@AdaColau;84
@ahorapodemos;@ierrejon;280
@CsLesCorts;@CarinaMejias;127
@CsLesCorts;@CCLesCorts;78
@CarinaMejias;@CCLesCorts;84
@AlfredBosch;@MillorBCN;76
@MovEsquerres;@Avancemcat;68
@PConstClot;@AdaColau;74
@PopularsGracia;@albertofdezxbcn;79
@carmenchusalas;@SandraBoix;58
@bcnencomu;@XescoMagrinya;97
@PPBarcelona_;@PopularesHospit;61
@Fginer;@CarinaMejias;112
@Fginer;@CarolinaPunset;112
@Fginer;@begonavillacis;108
@CarolinaPunset;@begonavillacis;189
@miguelmarcoruiz;@AdaColau;51
@albertofdezxbcn;@pp_sants;89
@bcnencomu;@SextaNocheTV;856
@sextaNoticias;@AdaColau;178
@Candeliano;@AdaColau;274
@vacp5;@albertofdezxbcn;79
@MiguelGardelVa;@CiudadanosCs;51
@MiguelGardelVa;@CarolinaPunset;51
@MiguelGardelVa;@CarinaMejias;51
@CiudadanosCs;@LuisSalvador;55
@CiudadanosCs;@CarolinaPunset;116
@LuisSalvador;@CarolinaPunset;50
@LuisSalvador;@CarinaMejias;53
@SFamiliaEnComu;@AdaColau;76
@BCNCiutatOberta;@ernestmaragall;72
@xaviertrias;@BCN_SantsMont;57
@jaumecollboni;@DModol_UrbArch;51
@cupnacional;@bcnencomu;56
@ciu;@AdaColau;58
@FormulaTV;@El_Intermedio;77
@FormulaTV;@AdaColau;77
@immigracio_erc;@AlfredBosch;50
@AdaColau;@AdaColau;50
@RamnCasares;@AdaColau;102
@fjmillan69;@begonavillacis;76
@fjmillan69;@CiudadanosCs;76
@JordiRoigG;@AdaColau;60
@MarianoNeyra;@bcnencomu;52
@MarianoNeyra;@cxmadrid;52
@bcnencomu;@cxmadrid;53
@Guerrero_Negro_;@AdaColau;58
@carmenceldran;@AdaColau;116
@_InakiLopez_;@AdaColau;251
@ERCbcn;@Avancemcat;53
@fanetin;@AdaColau;103
@lolanuria;@albertofdezxbcn;50
@SantiDemajo;@xaviertrias;149
@GemmaSendra;@MovEsquerres;97
@Podem_BCN;@PodemosSanitat;80
@barcelona_cat;@xaviertrias;77
@BCN_Mobilitat;@xaviertrias;52
@ramontremosa;@xaviertrias;103
@llopebre;@CatDiuProu;51
@ierrejon;@Podem_BCN;71
@bcnencomu9b;@AdaColau;117
@bcnencomu9b;@janetsanz;60
@bcnencomu9b;@carolainrc;59
@AdaColau;@carolainrc;113
@G_Pisarello;@carolainrc;100
