Source;Target;Weight
@xabiermikel;@onintzaenbeita;13
@carmenchusalas;@albiolalcalde_;11
@enoticiescat;@xaviertrias;69
@xriusenoticies;@xaviertrias;86
@cupnacional;@xaviertrias;35
@estornino_c;@raholaoficial;16
@estornino_c;@jordigraupera;16
@estornino_c;@alfredbosch;16
@estornino_c;@junqueras;13
@raholaoficial;@jordigraupera;19
@raholaoficial;@alfredbosch;29
@raholaoficial;@junqueras;15
@jordigraupera;@alfredbosch;19
@jordigraupera;@junqueras;15
@alfredbosch;@higiniaroig;16
@junqueras;@higiniaroig;39
@ludvig1973;@ahorapodemos;12
@ludvig1973;@adacolau;20
@ludvig1973;@iniciativa;12
@ahorapodemos;@adacolau;487
@ahorapodemos;@iniciativa;94
@adacolau;@iniciativa;114
@ppbarcelona_;@albertofdezxbcn;573
@elpicasoques;@adacolau;12
@ferranantaquera;@ahorapodemos;11
@ferranantaquera;@podemosperiodis;11
@ferranantaquera;@podemos_and;11
@ferranantaquera;@podemoscmadrid;11
@ferranantaquera;@podem_;11
@ferranantaquera;@podem_bcn;10
@ahorapodemos;@podemosperiodis;14
@ahorapodemos;@podemos_and;16
@ahorapodemos;@podemoscmadrid;16
@ahorapodemos;@podem_;14
@podemosperiodis;@podemos_and;14
@podemosperiodis;@podemoscmadrid;14
@podemosperiodis;@podem_;14
@podemosperiodis;@podem_bcn;13
@podemos_and;@podemoscmadrid;15
@podemos_and;@podem_;14
@podemos_and;@podem_bcn;15
@podemoscmadrid;@podem_;14
@podemoscmadrid;@podem_bcn;15
@podem_;@podem_bcn;27
@miquel_esteve;@adacolau;38
@miquel_esteve;@iuforn;15
@adacolau;@iuforn;17
@comitecotronic;@teleafonica;14
@comitecotronic;@davidferbla;11
@comitecotronic;@podem_bcn;13
@teleafonica;@davidferbla;12
@teleafonica;@podem_bcn;26
@davidferbla;@podem_bcn;12
@cs_ciutat_vella;@ypsym;16
@cs_ciutat_vella;@desdeelmeubarri;25
@ypsym;@cs_bcna;17
@desdeelmeubarri;@cs_bcna;11
@arapolitica;@jserracarne;10
@miquel_01;@quicoventallo;20
@miquel_01;@adacolau;34
@miquel_01;@pablo_iglesias_;20
@podemosjesusvlc;@isaranjuez;36
@isaranjuez;@podem_bcn;21
@vlcencomu;@ahorapodemos;10
@isaranjuez;@ahorapodemos;10
@pp_sarria;@albertofdezxbcn;99
@pp_sarria;@monfai;10
@albertofdezxbcn;@ayarzaconchita;15
@ayarzaconchita;@monfai;16
@carinamejias;@carolinapunset;217
@carinamejias;@franhervias;86
@carolinapunset;@franhervias;12
@cinemes_girona;@podem_bcn;10
@podemosjesusvlc;@jordievole;33
@podemosjesusvlc;@salvadostv;33
@jordievole;@salvadostv;97
@jordievole;@isaranjuez;34
@salvadostv;@isaranjuez;34
@erikatorregrosa;@jaumecollboni;57
@mtudela;@granollacs;26
@mtudela;@bcnencomu;26
@mtudela;@ami__cat;49
@granollacs;@bcnencomu;170
@granollacs;@ami__cat;176
@bcnencomu;@ami__cat;203
@granollacs;@adacolau;21
@mtudela;@adacolau;57
@ami__cat;@adacolau;57
@jordievole;@adacolau;454
@salvadostv;@adacolau;190
@isaranjuez;@ierrejon;38
@adacolau;@ierrejon;133
@adacolau;@s;187
@ierrejon;@s;17
@btvnoticies;@cupbarcelona;48
@cupbarcelona;@higiniaroig;49
@ercbcn;@jpuigcorbe;295
@aana7777;@manuelacarmena;16
@aana7777;@adacolau;16
@aana7777;@carnecrudaradio;14
@ejimenezcara;@copecatalunya;12
@ppcatalunya;@copecatalunya;12
@ppbarcelona_;@eduardobolanosr;10
@ppbarcelona_;@bcn_ajuntament;13
@ppbarcelona_;@olladegrills;47
@ppbarcelona_;@desdeelmeubarri;18
@ejimenezcara;@desdeelmeubarri;34
@joseptellez;@g_pisarello;19
@joseptellez;@bcnencomu;19
@davidcompanyon;@xaviertrias;24
@aramateix;@capgirembcn;73
@sergifidalgo;@carinamejias;11
@erc_gracia;@alfredbosch;68
@revolucio1984;@bcnencomu;19
@bcnencomu;@graciaencomu;187
@marcsantasusana;@capgirembcn;32
@xaviertrias;@millorbcn;60
@tmb_barcelona;@xaviertrias;55
@adacolau;@icveuia;311
@adacolau;@dolorscamats;154
@adacolau;@teresaforcadesf;183
@icveuia;@herrerajoan;16
@dolorscamats;@herrerajoan;161
@herrerajoan;@teresaforcadesf;34
@pah_bcn;@adacolau;85
@angelstomasgonz;@adacolau;28
@angelstomasgonz;@mvidal80;12
@guanyembdn;@mariadolorsa;34
@guanyembdn;@joseptellez;12
@guanyembdn;@enlopes;15
@guanyembdn;@g_pisarello;13
@guanyembdn;@bcnencomu;147
@mariadolorsa;@joseptellez;13
@mariadolorsa;@enlopes;13
@mariadolorsa;@g_pisarello;13
@mariadolorsa;@bcnencomu;17
@joseptellez;@enlopes;13
@enlopes;@g_pisarello;18
@enlopes;@bcnencomu;20
@ciudadanosesp;@carinamejias;14
@ciudadanosesp;@ciutadanscs;10
@josepcabayol;@bcnencomu;21
@capgirembcn;@la_torna;10
@standreuencomu;@mvidal80;117
@standreuencomu;@g_pisarello;76
@adacolau;@mlg_barcelona;41
@bcnencomu;@mlg_barcelona;94
@tonip44;@ahorapodemos;37
@tonip44;@podem_bcn;131
@carinamejias;@ignasi_planas;26
@marfil1961;@abrilascaso;19
@marfil1961;@bcnencomu;46
@adacolau;@radio4_rne;37
@cupbarcelona;@pah_bcn;34
@cupbarcelona;@capgirembcn;178
@pah_bcn;@la_pah;47
@bcnencomu;@radio4_rne;23
@bcnencomu;@acolom_;133
@abalagu;@raulc1979;39
@abalagu;@cs_bcna;63
@raulc1979;@cs_bcna;40
@bcnencomu;@vlcencomu;21
@vlcencomu;@jordiperis2015;10
@acampadabcn;@bcnencomu;11
@bcnencomu;@pimec;17
@asanchez130;@7ahuelga;12
@almoraima2303;@7ahuelga;10
@7ahuelga;@_mareaazul;13
@7ahuelga;@adslcadiz;10
@7ahuelga;@ahorapodemos;10
@7ahuelga;@adacolau;13
@7ahuelga;@bernycr83;10
@castagava;@bcnencomu;18
@gentdepodemgava;@elbruguers;14
@gentdepodemgava;@bcnencomu;31
@elbruguers;@bcnencomu;11
@sanchezcastejon;@jaumecollboni;664
@xavartal;@xaviertrias;10
@rclot;@janetsanz;11
@rclot;@icveuiabcn;11
